               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 156,            0.019774,            0.016271,           0.0030507,             0.78161,             0.74198,             0.76868,             0.51988,            0.013595,            0.015594,          0.00051748,           0.0023275,           0.0023275,           0.0023275
                 157,            0.017344,             0.01665,           0.0033295,             0.74073,             0.89723,             0.79272,             0.52321,            0.012754,            0.015029,          0.00052821,            0.002278,            0.002278,            0.002278
                 158,            0.017988,            0.016961,           0.0036179,             0.74396,             0.82989,             0.77872,              0.5272,            0.012717,            0.014647,          0.00048151,           0.0022285,           0.0022285,           0.0022285
                 159,              0.0179,            0.016729,           0.0020847,               0.732,             0.82578,             0.79854,              0.5173,             0.01332,            0.014416,           0.0004449,            0.002179,            0.002179,            0.002179
                 160,            0.020511,            0.017556,           0.0030679,             0.73715,             0.82535,             0.82296,             0.57636,             0.01283,            0.013936,          0.00043193,           0.0021295,           0.0021295,           0.0021295
                 161,             0.01751,            0.016272,            0.002336,              0.7728,             0.82559,             0.82808,             0.59829,            0.012399,            0.013427,          0.00040045,             0.00208,             0.00208,             0.00208
                 162,            0.019419,            0.016292,           0.0032188,             0.77925,             0.82589,             0.84713,             0.60952,            0.013221,            0.013239,          0.00040918,           0.0020305,           0.0020305,           0.0020305
                 163,            0.017098,            0.015893,           0.0036151,             0.73841,             0.85845,             0.85794,             0.60174,             0.01125,            0.013392,          0.00042796,            0.001981,            0.001981,            0.001981
                 164,            0.017431,            0.017124,           0.0031173,             0.80557,             0.88976,             0.87525,             0.61846,            0.012997,            0.013032,          0.00038017,           0.0019315,           0.0019315,           0.0019315
                 165,            0.016585,            0.016504,           0.0029262,             0.80276,             0.90138,             0.89125,             0.61798,            0.011889,            0.012345,          0.00033409,            0.001882,            0.001882,            0.001882
                 166,            0.018259,            0.015875,           0.0035651,             0.80571,             0.89974,             0.90279,             0.64935,            0.011562,            0.011421,          0.00030585,           0.0018325,           0.0018325,           0.0018325
                 167,            0.015057,            0.015454,           0.0029388,             0.82708,             0.97332,               0.907,             0.66118,            0.011316,            0.010949,          0.00029236,            0.001783,            0.001783,            0.001783
                 168,            0.018372,            0.014421,           0.0039782,             0.82713,             0.97184,               0.907,             0.66806,             0.01143,            0.010934,          0.00029772,           0.0017335,           0.0017335,           0.0017335
                 169,            0.016248,            0.017133,           0.0023612,             0.91422,             0.85405,              0.9303,             0.66675,            0.012258,            0.010937,          0.00030243,            0.001684,            0.001684,            0.001684
                 170,            0.016983,            0.016875,           0.0026821,             0.91402,             0.85142,             0.92667,             0.63068,            0.011976,            0.010901,          0.00030257,           0.0016345,           0.0016345,           0.0016345
                 171,            0.016605,            0.016471,            0.002145,             0.82636,             0.90953,             0.91371,             0.64501,            0.011215,            0.010976,          0.00031236,            0.001585,            0.001585,            0.001585
                 172,            0.015716,            0.016876,           0.0024489,             0.83124,             0.90957,             0.91735,             0.64965,            0.011756,            0.011003,          0.00030766,           0.0015355,           0.0015355,           0.0015355
                 173,            0.018423,            0.016577,           0.0024843,              0.8348,             0.90957,             0.92171,             0.65676,            0.011303,            0.011046,          0.00029621,            0.001486,            0.001486,            0.001486
                 174,             0.01575,            0.015858,           0.0023372,             0.85022,             0.88591,             0.92705,             0.67624,            0.011022,            0.010681,          0.00028189,           0.0014365,           0.0014365,           0.0014365
                 175,            0.017645,            0.015348,           0.0019022,             0.87144,             0.97557,             0.93675,             0.69275,            0.012243,            0.010395,          0.00026893,            0.001387,            0.001387,            0.001387
                 176,            0.017197,            0.014636,           0.0019944,             0.87203,             0.97861,             0.93675,             0.70194,            0.011754,            0.010363,          0.00027271,           0.0013375,           0.0013375,           0.0013375
                 177,            0.016071,            0.015681,           0.0013931,             0.87229,             0.98461,             0.93675,             0.68656,            0.011872,            0.010577,          0.00027284,            0.001288,            0.001288,            0.001288
                 178,            0.017037,            0.015764,           0.0024532,             0.87348,             0.99523,             0.93675,             0.70512,            0.011818,            0.010453,          0.00026697,           0.0012385,           0.0012385,           0.0012385
                 179,            0.015639,            0.015238,           0.0028997,             0.86742,             0.99361,             0.93675,             0.67016,             0.01227,            0.010495,          0.00026016,            0.001189,            0.001189,            0.001189
                 180,             0.01793,            0.016194,           0.0040375,             0.87135,             0.97632,             0.93675,             0.65818,            0.012116,            0.010685,          0.00026428,           0.0011395,           0.0011395,           0.0011395
